City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
384,Nabire,ID,-3.3667,135.4833,27.04,73,100,0.83,overcast clouds,Hotel Nusantara Nabire
391,Hobyo,SO,5.3505,48.5268,25.01,82,58,5.89,light rain,Halane Hotel and Restaurent
394,Senanga,ZM,-16.1167,23.2667,19.36,85,100,2.15,overcast clouds,Zango lodge
395,Quatre Cocos,MU,-20.2078,57.7625,26.16,71,100,10.77,overcast clouds,Sunrise Attitude Hotel
397,Samfya,ZM,-11.3649,29.5565,17.25,97,55,1.13,light rain,Chita Lodge Samfya
399,San Juan,AR,-31.5375,-68.5364,28.4,24,49,3.25,scattered clouds,Hotel Provincial
405,Kelo,TD,9.3086,15.8066,19.01,19,18,2.17,few clouds,Plantation de Kelo
406,Kaabong,UG,3.4836,34.1492,19.34,45,99,0.43,overcast clouds,Rock Motel Ltd
407,Naifaru,MV,5.4444,73.3657,27.82,74,93,6.07,overcast clouds,Naifaru Residence Guest House
408,Pyay,MM,18.8167,95.2167,15.27,45,100,0.69,overcast clouds,Shwe Pyi Thar
